objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação,mês_transação
888934,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,3,TERRITORIAL,100,578.666666,310644.25,310644.25,COMPRA E VENDA,2013,7
888935,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,66.67,360,177082885,265611045,COMPRA E VENDA,2013,10
888936,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,1469,246283.31,246283.31,COMPRA E VENDA,2013,6
888937,159,Parque Colúmbia           ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,316,60004.27,60004.27,COMPRA E VENDA,2013,2
888938,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,6300,688821.06,688821.06,COMPRA E VENDA,2013,3
888939,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,228,77883.85,77883.85,COMPRA E VENDA,2013,10
888940,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,297,12567.45,12567.45,COMPRA E VENDA,2013,2
888941,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,289,25135.45,25135.45,COMPRA E VENDA,2013,9
888942,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,596,142964.72,142964.72,COMPRA E VENDA,2013,5
888943,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,75,316.5,86941.96,123959.73,COMPRA E VENDA,2013,8
888944,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,255,55312.05,55312.05,COMPRA E VENDA,2013,5
888945,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,550,44290.88,44290.88,COMPRA E VENDA,2013,12
888946,77,Colégio                   ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,1000,89826.77,89826.77,COMPRA E VENDA,2013,8
888947,41,Ramos                     ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,465,60727.31,60727.31,COMPRA E VENDA,2013,9
888948,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,23,109701.19,109701.19,COMPRA E VENDA,2013,2
888949,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,2,TERRITORIAL,75,238,75114.06,113577.48,COMPRA E VENDA,2013,5
888950,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,2,TERRITORIAL,75,189,33888.82,47193.5,COMPRA E VENDA,2013,8
888951,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,5,TERRITORIAL,100,269.2,14449368,14449368,COMPRA E VENDA,2013,1
888952,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,2,TERRITORIAL,100,250,20829.05,20829.05,COMPRA E VENDA,2013,4
888953,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,3,TERRITORIAL,100,180,51718.3,51718.3,COMPRA E VENDA,2013,7
888954,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,1,TERRITORIAL,100,160,42722.02,42722.02,COMPRA E VENDA,2013,10
888955,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,50,340,34293.12,68586.24,COMPRA E VENDA,2013,9
888956,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,,48145.18,48145.18,COMPRA E VENDA,2013,4
888957,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,31,TERRITORIAL,83.734193,10322.193548,19304.644838,607820.533225,COMPRA E VENDA,2012,3
888958,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,12,TERRITORIAL,77.16,3085.583333,69723.010833,224203.830833,COMPRA E VENDA,2012,6
888959,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,5,TERRITORIAL,66,1520,491792934,660032346,COMPRA E VENDA,2012,3
888960,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,278.5,280721.96,280721.96,COMPRA E VENDA,2012,10
888961,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,1,TERRITORIAL,100,133,210000.01,210000.01,COMPRA E VENDA,2012,7
888962,16,Glória                    ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,100,202,449999.99,449999.99,COMPRA E VENDA,2012,5
888963,7,Rio Comprido              ,1,1.1,Centro,3,RIO COMPRIDO            ,1,TERRITORIAL,100,913,401585.22,401585.22,COMPRA E VENDA,2012,7
888964,7,Rio Comprido              ,1,1.1,Centro,3,RIO COMPRIDO            ,2,TERRITORIAL,100,415,59782.07,59782.07,COMPRA E VENDA,2012,10
888965,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,100,408,314999.99,314999.99,COMPRA E VENDA,2012,9
888966,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,50,360,174999.99,349999.98,COMPRA E VENDA,2012,12
888967,33,Tijuca                    ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,400,200000.01,200000.01,COMPRA E VENDA,2012,7
888968,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,75,381.5,113968855,177618855,COMPRA E VENDA,2012,1
888969,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,6,TERRITORIAL,58.333333,386.833333,68226.35,117460.353333,COMPRA E VENDA,2012,4
888970,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,83.333333,343,98716.67,122559.37,COMPRA E VENDA,2012,7
888971,17,Laranjeiras               ,2,2.1,Zona Sul,4,BOTAFOGO                ,2,TERRITORIAL,100,603,1424500,1424500,COMPRA E VENDA,2012,10
888972,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,19,TERRITORIAL,89.645789,3371.894736,49713.428947,447386.855263,COMPRA E VENDA,2012,2
888973,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,24,TERRITORIAL,84.970833,3030.25,42415.35,253942.808333,COMPRA E VENDA,2012,9
888974,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,34,TERRITORIAL,97.058823,547.470588,48876.909117,53055.074705,COMPRA E VENDA,2012,12
888975,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,20,TERRITORIAL,16875,9601.05,195313.9955,2652438.5435,COMPRA E VENDA,2012,1
888976,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,13,TERRITORIAL,2.447692,43817.384615,604897.133076,439315772.083846,COMPRA E VENDA,2012,8
888977,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,8,TERRITORIAL,14.77125,9056125,66475445,6248980.84375,COMPRA E VENDA,2012,11
888978,19,Cosme Velho               ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,80,1025,527857.66,659822.08,COMPRA E VENDA,2012,12
888979,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,5,TERRITORIAL,76.6,322.2,69955834,96379118,COMPRA E VENDA,2012,5
888980,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,78,319.666666,90446.976666,121537.293333,COMPRA E VENDA,2012,8
888981,116,Anil                      ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,364,195764.8,195764.8,COMPRA E VENDA,2012,12
888982,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,13,TERRITORIAL,64.544615,13081.692307,840098.83923,1198641.323846,COMPRA E VENDA,2012,1
888983,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,11,TERRITORIAL,91.818181,5919.90909,6167648.1,7633894.407272,COMPRA E VENDA,2012,8
888984,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,24,TERRITORIAL,74.030833,1146.083333,505805.209583,648355.327083,COMPRA E VENDA,2012,11
888985,129,Camorim                   ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,1,TERRITORIAL,100,7772,177226.16,177226.16,COMPRA E VENDA,2012,7
888986,117,Gardênia Azul             ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,16835,5286,16169085,472421175,COMPRA E VENDA,2012,8
