objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação,mês_transação
887881,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,500,40229.9,40229.9,COMPRA E VENDA,2010,12
887882,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,135,3984.7,3984.7,COMPRA E VENDA,2010,12
887883,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,6,TERRITORIAL,100,360,63758.01,63758.01,COMPRA E VENDA,2010,11
887884,73,Vicente de Carvalho       ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,2021,165106.83,165106.83,COMPRA E VENDA,2010,11
887885,55,Engenho da Rainha         ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,120,13736.63,13736.63,COMPRA E VENDA,2010,12
887886,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,4,TERRITORIAL,100,168.25,15353.54,15353.54,COMPRA E VENDA,2010,12
887887,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,160,17275.32,17275.32,COMPRA E VENDA,2010,11
887888,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,811,126412.61,126412.61,COMPRA E VENDA,2010,12
887889,138,Magalhães Bastos          ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,225,19758.88,19758.88,COMPRA E VENDA,2010,12
887890,79,Quintino Bocaiúva         ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,90,16071.05,16071.05,COMPRA E VENDA,2010,12
887891,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,40,TERRITORIAL,3068,8059575,19865.73475,3243726.81625,COMPRA E VENDA,2010,11
887892,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,133,5300.43,5300.43,COMPRA E VENDA,2010,11
887893,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,697.5,218946035,218946035,COMPRA E VENDA,2010,12
887894,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,100,167,189003.52,189003.52,COMPRA E VENDA,2010,12
887895,33,Tijuca                    ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,370,127999.99,127999.99,COMPRA E VENDA,2010,12
887896,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,36,TERRITORIAL,82.366666,6627.25,65862.156944,423077315,COMPRA E VENDA,2010,11
887897,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,12,TERRITORIAL,75.395833,3716.416666,33055.8525,629137.6275,COMPRA E VENDA,2010,12
887898,128,Barra da Tijuca           ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,16,TERRITORIAL,87.7925,931875,1273566.718125,2808976755,COMPRA E VENDA,2010,12
887899,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,46,TERRITORIAL,94.565217,520.97826,31346.666521,32482.504782,COMPRA E VENDA,2010,12
887900,141,Bangu,5,5.1,Bangu,17,BANGU                   ,4,TERRITORIAL,100,258.5,42231.4,42231.4,COMPRA E VENDA,2010,11
887901,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,381,111855.79,111855.79,COMPRA E VENDA,2011,5
887902,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,380,58463.32,58463.32,COMPRA E VENDA,2011,11
887903,101,Tauá                      ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,235,40971.52,40971.52,COMPRA E VENDA,2011,12
887904,102,Moneró                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,411,121301.31,121301.31,COMPRA E VENDA,2011,7
887905,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,250,27249.87,27249.87,COMPRA E VENDA,2010,11
887906,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,3,TERRITORIAL,83.333333,761.333333,115430.236666,118340.976666,COMPRA E VENDA,2010,12
887907,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,576,22221.8,22221.8,COMPRA E VENDA,2010,12
887908,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,283,34469.63,34469.63,COMPRA E VENDA,2010,11
887909,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,260,12480.22,12480.22,COMPRA E VENDA,2010,12
887910,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,5,TERRITORIAL,100,301.6,36806768,36806768,COMPRA E VENDA,2010,11
887911,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,1430,201701,201701,COMPRA E VENDA,2010,12
887912,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,125,20300.33,20300.33,COMPRA E VENDA,2010,12
887913,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,225,23522.16,23522.16,COMPRA E VENDA,2010,11
887914,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,100,656.333333,95490.776666,95490.776666,COMPRA E VENDA,2010,11
887915,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,21,TERRITORIAL,100,212.428571,27756.730476,27756.730476,COMPRA E VENDA,2010,11
887916,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,100,798,128020.63,128020.63,COMPRA E VENDA,2010,11
887917,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,8,TERRITORIAL,65.1475,9429625,99248.22875,1271389.29875,COMPRA E VENDA,2010,12
887918,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,100,881,89999.99,89999.99,COMPRA E VENDA,2010,12
887919,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,19,TERRITORIAL,86.973684,5461,94797.005263,371834.854736,COMPRA E VENDA,2010,12
887920,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,6,TERRITORIAL,3.138333,12199.666666,87367.013333,2831758.101666,COMPRA E VENDA,2010,11
887921,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,100,290,48918.406666,48918.406666,COMPRA E VENDA,2010,11
887922,116,Anil                      ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,75,600,25829795,36629.43,COMPRA E VENDA,2010,12
887923,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,5,TERRITORIAL,81232,2257.8,211311.06,357008812,COMPRA E VENDA,2010,11
887924,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,4,TERRITORIAL,100,1273.5,519345.3575,519345.3575,COMPRA E VENDA,2010,12
887925,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,1,TERRITORIAL,100,360,18946.75,18946.75,COMPRA E VENDA,2010,11
887926,141,Bangu,5,5.1,Bangu,17,BANGU                   ,4,TERRITORIAL,100,211,35870.9275,35870.9275,COMPRA E VENDA,2010,12
887927,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,360,44753.26,44753.26,COMPRA E VENDA,2011,3
887928,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,3,TERRITORIAL,100,406.666666,64956.683333,64956.683333,COMPRA E VENDA,2011,9
887929,101,Tauá                      ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,680,74839.67,74839.67,COMPRA E VENDA,2011,3
887930,101,Tauá                      ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,428,43085.04,43085.04,COMPRA E VENDA,2011,6
887931,102,Moneró                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,360,108375.83,108375.83,COMPRA E VENDA,2011,11
887932,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,300,31289.27,31289.27,COMPRA E VENDA,2011,7
887933,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,373.5,101040.26,101040.26,COMPRA E VENDA,2011,12
887934,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,120,14176.63,14176.63,COMPRA E VENDA,2011,8
887935,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,120,19004.33,19004.33,COMPRA E VENDA,2011,11
887936,46,Cordovil                  ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,1280,179472.75,179472.75,COMPRA E VENDA,2011,10
887937,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,16.67,656,30881.18,185250.03,COMPRA E VENDA,2011,3
887938,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,3,TERRITORIAL,10,813.666666,25197.986666,251979.866666,COMPRA E VENDA,2011,6
887939,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,5,TERRITORIAL,28,408.6,50720374,162129898,COMPRA E VENDA,2011,9
887940,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,65,524695,73035.55,112362.38,COMPRA E VENDA,2011,2
887941,159,Parque Colúmbia           ,3,3.6,Pavuna,25,PAVUNA                  ,5,TERRITORIAL,100,465,21825.27,21825.27,COMPRA E VENDA,2011,10
887942,95,Praia da Bandeira         ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,480,65621.63,65621.63,COMPRA E VENDA,2011,3
887943,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,100,296.5,57620135,57620135,COMPRA E VENDA,2011,8
887944,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,100,303,50555.59,50555.59,COMPRA E VENDA,2011,2
887945,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,100,30940.5,1519718335,1519718335,COMPRA E VENDA,2011,5
887946,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,12232,1082390.62,1082390.62,COMPRA E VENDA,2011,12
887947,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,225,11797.82,11797.82,COMPRA E VENDA,2011,11
887948,94,Pitangueiras              ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,364,50834.29,50834.29,COMPRA E VENDA,2011,12
887949,43,Penha                     ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,250,45313.81,45313.81,COMPRA E VENDA,2011,6
887950,43,Penha                     ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,790,243223.49,243223.49,COMPRA E VENDA,2011,9
887951,91,Ribeira                   ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,612,154211.15,154211.15,COMPRA E VENDA,2011,10
887952,110,Coelho Neto               ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,296,35395.82,35395.82,COMPRA E VENDA,2011,6
887953,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,3,TERRITORIAL,42.093333,450.666666,11131.703333,27570.556666,COMPRA E VENDA,2011,2
887954,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,1911,2464.11,2464.11,COMPRA E VENDA,2011,1
887955,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,2,TERRITORIAL,100,382.5,25732585,25732585,COMPRA E VENDA,2011,4
887956,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,251,19109.72,19109.72,COMPRA E VENDA,2011,7
887957,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,2,TERRITORIAL,66665,222,5905.67,8292.16,COMPRA E VENDA,2011,4
887958,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,350,28062.04,28062.04,COMPRA E VENDA,2011,3
887959,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,37.5,280,17639.66,47039.09,COMPRA E VENDA,2011,9
887960,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,225,21457.68,21457.68,COMPRA E VENDA,2011,1
887961,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,2,TERRITORIAL,75,231,21457935,31925355,COMPRA E VENDA,2011,4
887962,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,625,66468.13,66468.13,COMPRA E VENDA,2011,7
887963,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,192,35065.86,35065.86,COMPRA E VENDA,2011,10
887964,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,100,161.5,19262.65,19262.65,COMPRA E VENDA,2011,6
887965,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,23,24506.47,24506.47,COMPRA E VENDA,2011,9
887966,90,Marechal Hermes           ,3,3.3,Madureira,15,MADUREIRA               ,7,TERRITORIAL,14.465714,1046.571428,9052.627142,131456.261428,COMPRA E VENDA,2011,2
887967,90,Marechal Hermes           ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,381,34361.44,34361.44,COMPRA E VENDA,2011,5
887968,90,Marechal Hermes           ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,222.5,25239585,25239585,COMPRA E VENDA,2011,8
887969,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,5,TERRITORIAL,100,287.4,11477532,11477532,COMPRA E VENDA,2011,3
887970,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,5,TERRITORIAL,100,258.2,11304008,11304008,COMPRA E VENDA,2011,6
887971,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,3,TERRITORIAL,100,231.666666,18510.26,18510.26,COMPRA E VENDA,2011,2
887972,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,1,TERRITORIAL,100,126,15176.17,15176.17,COMPRA E VENDA,2011,9
887973,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,1,TERRITORIAL,100,128,14030.79,14030.79,COMPRA E VENDA,2011,12
887974,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,189,32600.4,32600.4,COMPRA E VENDA,2011,8
887975,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,2,TERRITORIAL,6.92,770,11245.3,162504.34,COMPRA E VENDA,2011,9
887976,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,3,TERRITORIAL,100,131,8441.553333,8441.553333,COMPRA E VENDA,2011,3
887977,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,7,TERRITORIAL,100,160.714285,11042.782857,11042.782857,COMPRA E VENDA,2011,6
887978,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,5,TERRITORIAL,100,210.4,9713.14,9713.14,COMPRA E VENDA,2011,9
887979,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,6,TERRITORIAL,100,182,23058.001666,23058.001666,COMPRA E VENDA,2011,12
887980,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,360,63235.96,63235.96,COMPRA E VENDA,2011,5
887981,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,418.5,42593.36,42593.36,COMPRA E VENDA,2011,1
887982,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,250,19479.7,19479.7,COMPRA E VENDA,2011,7
887983,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,562,52178.77,52178.77,COMPRA E VENDA,2011,10
887984,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,9,TERRITORIAL,100,2152.666666,22129.438888,22129.438888,COMPRA E VENDA,2011,3
887985,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,4,TERRITORIAL,100,1216.5,16107355,16107355,COMPRA E VENDA,2011,6
887986,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,8,TERRITORIAL,100,50338375,132375265,132375265,COMPRA E VENDA,2011,9
887987,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,1,TERRITORIAL,100,370,11811.34,11811.34,COMPRA E VENDA,2011,7
887988,71,Pilares                   ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,8.03,1100,6540.84,81455.04,COMPRA E VENDA,2011,1
887989,69,Piedade                   ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,75,363,30975.62,41300.83,COMPRA E VENDA,2011,12
887990,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,68.333333,283.333333,56064.72,97650.273333,COMPRA E VENDA,2011,4
887991,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,37.776666,3713,44586.58,232728.79,COMPRA E VENDA,2011,7
887992,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,6,TERRITORIAL,84.166666,403.5,95736.696666,152368825,COMPRA E VENDA,2011,10
887993,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,52,TERRITORIAL,0.55423,8257,4806.428269,867292.663076,COMPRA E VENDA,2011,1
887994,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,420,24728.58,24728.58,COMPRA E VENDA,2011,7
887995,70,Abolição                  ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,,18930.96,18930.96,COMPRA E VENDA,2011,5
887996,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,3,TERRITORIAL,100,630.666666,26662.726666,26662.726666,COMPRA E VENDA,2011,1
887997,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,855,53296.56,53296.56,COMPRA E VENDA,2011,4
887998,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,18,TERRITORIAL,100,2134.555555,78395.776666,78395.776666,COMPRA E VENDA,2011,3
887999,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,11,TERRITORIAL,95.454545,258.90909,41189.401818,44738.881818,COMPRA E VENDA,2011,10
888000,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,3168,156809.3,156809.3,COMPRA E VENDA,2011,7
888001,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,5.05,1585,11404.42,225830.1,COMPRA E VENDA,2011,5
888002,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,5.05,1585,13542.76,268173.47,COMPRA E VENDA,2011,11
888003,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,250,28828.32,28828.32,COMPRA E VENDA,2011,6
888004,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,539,112843.37,112843.37,COMPRA E VENDA,2011,2
888005,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,401,139322.2,139322.2,COMPRA E VENDA,2011,11
888006,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,3,TERRITORIAL,100,192.333333,23880.61,23880.61,COMPRA E VENDA,2011,1
888007,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,6000,228655.2,228655.2,COMPRA E VENDA,2011,4
888008,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,9,TERRITORIAL,100,228.888888,48035.924444,48035.924444,COMPRA E VENDA,2011,7
888009,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,6,TERRITORIAL,100,5821.666666,323113.236666,323113.236666,COMPRA E VENDA,2011,10
888010,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,4,TERRITORIAL,50,625.5,85810.5125,152330715,COMPRA E VENDA,2011,5
888011,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,550,22980.72,22980.72,COMPRA E VENDA,2011,1
888012,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,23,TERRITORIAL,95.692608,7004.565217,53009.590434,89167.222608,COMPRA E VENDA,2011,4
888013,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,3,TERRITORIAL,0.956666,30672.333333,33515.083333,3687918.503333,COMPRA E VENDA,2011,7
888014,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,50.36,1422.5,95014.08,265669505,COMPRA E VENDA,2011,1
888015,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,100,387,126343.31,126343.31,COMPRA E VENDA,2011,11
888016,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,232,60333.25,60333.25,COMPRA E VENDA,2011,1
888017,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,305,121380.83,121380.83,COMPRA E VENDA,2011,11
888018,113,Costa Barros              ,3,3.6,Pavuna,25,PAVUNA                  ,2,TERRITORIAL,100,479,13074.13,13074.13,COMPRA E VENDA,2011,7
888019,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,1,TERRITORIAL,100,260,46210.81,46210.81,COMPRA E VENDA,2011,6
888020,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,65832,755665.22,755665.22,COMPRA E VENDA,2011,11
888021,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,260,12895.01,12895.01,COMPRA E VENDA,2011,3
888022,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,2,TERRITORIAL,70.89,224.5,12661795,17478.4,COMPRA E VENDA,2011,10
888023,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,400,66814.92,66814.92,COMPRA E VENDA,2011,4
888024,74,Vila da Penha             ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,365,51036.92,51036.92,COMPRA E VENDA,2011,9
888025,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,2178,352223.26,352223.26,COMPRA E VENDA,2011,10
888026,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,3,TERRITORIAL,66.883333,1980.666666,138562.39,7475177.773333,COMPRA E VENDA,2011,5
888027,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,3002,407849.41,407849.41,COMPRA E VENDA,2011,8
888028,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,3,TERRITORIAL,0.46,3854,99331.33,19664048.463333,COMPRA E VENDA,2011,11
888029,10,São Cristóvão             ,1,1.1,Centro,7,SAO CRISTOVAO           ,1,TERRITORIAL,100,125,65144.97,65144.97,COMPRA E VENDA,2011,10
888030,146,Inhoaíba                  ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,2,TERRITORIAL,100,449,39840495,39840495,COMPRA E VENDA,2011,8
888031,146,Inhoaíba                  ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,262,45019.38,45019.38,COMPRA E VENDA,2011,11
888032,64,Todos os Santos           ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,353,16837.44,16837.44,COMPRA E VENDA,2011,10
888033,51,Jacaré                    ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,152,34877.62,34877.62,COMPRA E VENDA,2011,9
888034,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,12.5,686,24720.27,197762.16,COMPRA E VENDA,2011,6
888035,59,Riachuelo                 ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,62.5,653.5,56801645,112237.55,COMPRA E VENDA,2011,8
888036,57,São Francisco Xavier      ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,5686,1424884.14,1424884.14,COMPRA E VENDA,2011,9
888037,61,Engenho Novo              ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,5400,185885.73,185885.73,COMPRA E VENDA,2011,5
888038,61,Engenho Novo              ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,4394,680077.16,680077.16,COMPRA E VENDA,2011,8
888039,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,1686.5,181314.09,181314.09,COMPRA E VENDA,2011,3
888040,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,532.5,58497.11,58497.11,COMPRA E VENDA,2011,6
888041,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,30.79,188432,43778.17,142183.08,COMPRA E VENDA,2011,9
888042,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,16,TERRITORIAL,88.54625,5397.9375,150849.734375,193028.78125,COMPRA E VENDA,2011,2
888043,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,23,TERRITORIAL,91.325652,6310.347826,47387.858695,112607.716956,COMPRA E VENDA,2011,5
888044,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,24,TERRITORIAL,81.149166,4395.25,172474.55875,420456.852916,COMPRA E VENDA,2011,8
888045,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,27,TERRITORIAL,52.578518,5213.055555,92689.881111,113959209.92037,COMPRA E VENDA,2011,11
888046,67,Água Santa                ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,192,41692.15,41692.15,COMPRA E VENDA,2011,10
