objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
377839,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,3,TERRITORIAL,100,233,55528.226666,55528.226666,COMPRA E VENDA,2015
377840,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,15,TERRITORIAL,100,3597.466666,143226.38,143226.38,COMPRA E VENDA,2015
377841,85,Turiaçú                   ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,361,61577.78,61577.78,COMPRA E VENDA,2015
377842,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,41,TERRITORIAL,83.892682,195943.04878,719716.439512,1878764.235853,COMPRA E VENDA,2015
377843,80,Cavalcanti                ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,298.5,75213.81,75213.81,COMPRA E VENDA,2015
377844,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,66,TERRITORIAL,99.116212,18499.939393,198691.600454,199209295,COMPRA E VENDA,2015
377845,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,100,1236.5,209027765,209027765,COMPRA E VENDA,2015
377846,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,80,237523.63,237523.63,COMPRA E VENDA,2015
377847,5,Centro                    ,1,1.1,Centro,2,CENTRO                  ,14,TERRITORIAL,81.547857,306.857142,6318110.769285,6448502.464285,COMPRA E VENDA,2015
377848,32,Praça da Bandeira         ,2,2.2,Tijuca,8,TIJUCA                  ,2,TERRITORIAL,100,390,432874765,432874765,COMPRA E VENDA,2015
377849,9,Estácio                   ,1,1.1,Centro,3,RIO COMPRIDO            ,1,TERRITORIAL,50,4352,672765.91,1345531.82,COMPRA E VENDA,2015
377850,41,Ramos                     ,3,3.1,Ramos,10,RAMOS                   ,2,TERRITORIAL,100,285,221842.12,221842.12,COMPRA E VENDA,2025
377851,90,Marechal Hermes           ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,442,162585.28,162585.28,COMPRA E VENDA,2025
377852,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,1,TERRITORIAL,100,252,139112.14,139112.14,COMPRA E VENDA,2025
377853,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,100,3420,3447443.993333,3447443.993333,COMPRA E VENDA,2025
377854,146,Inhoaíba                  ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,3,TERRITORIAL,100,336.333333,69697.013333,69697.013333,COMPRA E VENDA,2025
377855,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,13,TERRITORIAL,81.516923,575.090909,197693.830769,279622.595384,COMPRA E VENDA,2025
377856,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,796.25,739173.1775,739173.1775,COMPRA E VENDA,2025
377857,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,100,461,1473000.02,1473000.02,COMPRA E VENDA,2025
