objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
376887,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,444,85994.71,85994.71,COMPRA E VENDA,2010
376888,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,8,TERRITORIAL,89.93,812.75,176504.93,213122.2675,COMPRA E VENDA,2010
376889,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,392,9382.59,9382.59,COMPRA E VENDA,2010
376890,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,75,39330.5,66402815,124864175,COMPRA E VENDA,2010
376891,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,3,TERRITORIAL,100,250,12809.726666,12809.726666,COMPRA E VENDA,2010
376892,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,10,TERRITORIAL,87.5,218.8,12468.74,14009956,COMPRA E VENDA,2010
376893,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,12,TERRITORIAL,100,931.666666,15807.086666,15807.086666,COMPRA E VENDA,2010
376894,78,Campinho                  ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,1485,159865.71,159865.71,COMPRA E VENDA,2010
376895,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,23,TERRITORIAL,100,211.47826,27110.116956,27110.116956,COMPRA E VENDA,2010
376896,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,695.5,105894.2725,105894.2725,COMPRA E VENDA,2010
376897,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,255.5,95158.06,95158.06,COMPRA E VENDA,2010
376898,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,237,49387.48,49387.48,COMPRA E VENDA,2010
376899,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,7,TERRITORIAL,92.857142,1131.571428,93590.27,98736.197142,COMPRA E VENDA,2010
376900,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,16,TERRITORIAL,15.685625,10690.8125,71639.38375,21638354.68125,COMPRA E VENDA,2010
376901,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,8,TERRITORIAL,70,342.75,46587.65625,76864.1775,COMPRA E VENDA,2010
376902,31,São Conrado               ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,100,1850,403679.01,403679.01,COMPRA E VENDA,2010
376903,132,Recreio dos Bandeirantes  ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,48,TERRITORIAL,56.952708,1803.553191,1295726.171041,2786435.660416,COMPRA E VENDA,2010
376904,13,Paquetá                   ,1,1.1,Centro,21,PAQUETA                 ,1,TERRITORIAL,100,232,21189.89,21189.89,COMPRA E VENDA,2011
376905,102,Moneró                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,7,TERRITORIAL,100,441.285714,130888.971428,130888.971428,COMPRA E VENDA,2011
376906,46,Cordovil                  ,3,3.5,Penha,31,VIGARIO GERAL           ,3,TERRITORIAL,100,2718.333333,83658.7,83658.7,COMPRA E VENDA,2011
376907,159,Parque Colúmbia           ,3,3.6,Pavuna,25,PAVUNA                  ,7,TERRITORIAL,100,400.285714,21238.071428,21238.071428,COMPRA E VENDA,2011
376908,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,12,TERRITORIAL,100,325.333333,14416.379166,14416.379166,COMPRA E VENDA,2011
376909,91,Ribeira                   ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,612,154211.15,154211.15,COMPRA E VENDA,2011
376910,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,13,TERRITORIAL,95.521538,394.307692,17360.273076,18101.28923,COMPRA E VENDA,2011
376911,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,3,TERRITORIAL,83.333333,761.333333,115430.236666,118340.976666,COMPRA E VENDA,2010
376912,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,576,22221.8,22221.8,COMPRA E VENDA,2010
376913,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,135,3984.7,3984.7,COMPRA E VENDA,2010
376914,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,6,TERRITORIAL,100,360,63758.01,63758.01,COMPRA E VENDA,2010
376915,41,Ramos                     ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,350,82450.79,82450.79,COMPRA E VENDA,2010
376916,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,100,795,109488.16,109488.16,COMPRA E VENDA,2010
376917,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,75,93.666666,35187.42,87066.37,COMPRA E VENDA,2010
376918,79,Quintino Bocaiúva         ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,90,16071.05,16071.05,COMPRA E VENDA,2010
376919,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,26,TERRITORIAL,57.777692,5577.307692,112826.432307,603321.402307,COMPRA E VENDA,2010
376920,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,100,881,89999.99,89999.99,COMPRA E VENDA,2010
376921,116,Anil                      ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,75,600,25829795,36629.43,COMPRA E VENDA,2010
376922,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,4,TERRITORIAL,100,1273.5,519345.3575,519345.3575,COMPRA E VENDA,2010
376923,141,Bangu,5,5.1,Bangu,17,BANGU                   ,8,TERRITORIAL,100,234.75,39051.16375,39051.16375,COMPRA E VENDA,2010
376924,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,6,TERRITORIAL,68.35,1176.333333,49898.128333,128074.193333,COMPRA E VENDA,2011
376925,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,16,TERRITORIAL,65.848125,458.6875,58812.455625,104501.845625,COMPRA E VENDA,2011
376926,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,22,TERRITORIAL,56.212272,561.954545,94969.596363,173749.444545,COMPRA E VENDA,2011
376927,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,8,TERRITORIAL,100,9418.25,551823885,551823885,COMPRA E VENDA,2011
376928,94,Pitangueiras              ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,365,70573745,70573745,COMPRA E VENDA,2011
376929,43,Penha                     ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,100,520,144268.65,144268.65,COMPRA E VENDA,2011
376930,110,Coelho Neto               ,3,3.6,Pavuna,25,PAVUNA                  ,2,TERRITORIAL,100,448,23265475,23265475,COMPRA E VENDA,2011
376931,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,79.166666,471,35087.32,44887.13,COMPRA E VENDA,2011
376932,55,Engenho da Rainha         ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,282,30238.29,30238.29,COMPRA E VENDA,2011
376933,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,26,TERRITORIAL,95.015384,304.76,24373.745769,25988.16,COMPRA E VENDA,2011
376934,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,2,TERRITORIAL,6.92,770,11245.3,162504.34,COMPRA E VENDA,2011
376935,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,85,TERRITORIAL,98.241176,1103.658823,23934.933176,28729.062941,COMPRA E VENDA,2011
376936,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,5,TERRITORIAL,86666,263.6,9041.81,9996406,COMPRA E VENDA,2011
376937,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,32,TERRITORIAL,92.34375,448.90625,51505.7325,59942.064375,COMPRA E VENDA,2011
376938,73,Vicente de Carvalho       ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,339,68722.86,68722.86,COMPRA E VENDA,2011
376939,56,Tomás Coelho              ,3,3.4,Inhaúma,12,INHAUMA                 ,2,TERRITORIAL,100,105.5,10469.37,10469.37,COMPRA E VENDA,2011
376940,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,11,TERRITORIAL,81.901818,642.727272,86036.387272,114688.563636,COMPRA E VENDA,2011
376941,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,16,TERRITORIAL,87.525625,287.461538,11084.46375,1567021.975625,COMPRA E VENDA,2011
376942,50,Higienópolis              ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,364,30334.7,30334.7,COMPRA E VENDA,2011
376943,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,44,TERRITORIAL,63.143863,2037.386363,98077.421363,249490.189772,COMPRA E VENDA,2011
376944,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,63,TERRITORIAL,16.235238,7865.253968,29476.773174,765016.516984,COMPRA E VENDA,2011
376945,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,15,TERRITORIAL,100,407.6,20179.869333,20179.869333,COMPRA E VENDA,2011
376946,65,Cachambi                  ,3,3.2,Méier,13,MEIER                   ,9,TERRITORIAL,34.507777,258.666666,214659.435555,9761752.425555,COMPRA E VENDA,2011
376947,10,São Cristóvão             ,1,1.1,Centro,7,SAO CRISTOVAO           ,5,TERRITORIAL,100,527.4,112826218,112826218,COMPRA E VENDA,2011
376948,64,Todos os Santos           ,3,3.2,Méier,13,MEIER                   ,3,TERRITORIAL,100,1834.666666,290315.623333,290315.623333,COMPRA E VENDA,2011
376949,3,Santo Cristo              ,1,1.1,Centro,1,PORTUARIA               ,1,TERRITORIAL,100,440,21476.13,21476.13,COMPRA E VENDA,2011
376950,67,Água Santa                ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,13109,771902.06,771902.06,COMPRA E VENDA,2011
376951,38,Grajaú                    ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,100,702.5,528500,528500,COMPRA E VENDA,2011
376952,18,Catete                    ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,100,434,100000,100000,COMPRA E VENDA,2011
376953,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,361,TERRITORIAL,88.150941,5482.656509,47091.017617,369967.81675,COMPRA E VENDA,2011
376954,19,Cosme Velho               ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,100,468,300000.01,300000.01,COMPRA E VENDA,2011
376955,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,542,TERRITORIAL,18.110479,11976.123616,139103.4519,8207064.821361,COMPRA E VENDA,2011
376956,117,Gardênia Azul             ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,14,TERRITORIAL,85.907142,4525.642857,176413.057142,282711.397142,COMPRA E VENDA,2011
376957,24,Copacabana                ,2,2.1,Zona Sul,5,COPACABANA              ,1,TERRITORIAL,100,426,500000,500000,COMPRA E VENDA,2011
376958,25,Ipanema                   ,2,2.1,Zona Sul,6,LAGOA                   ,5,TERRITORIAL,20002,451,6207800008,30969136504,COMPRA E VENDA,2011
376959,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,59,TERRITORIAL,90.145423,495.355932,24397.977966,46210.06,COMPRA E VENDA,2011
376960,126,Joá                       ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,8,TERRITORIAL,100,1140125,658749.99875,658749.99875,COMPRA E VENDA,2011
376961,4,Caju                      ,1,1.1,Centro,1,PORTUARIA               ,1,TERRITORIAL,100,59,8309.43,8309.43,COMPRA E VENDA,2011
376962,141,Bangu,5,5.1,Bangu,17,BANGU                   ,89,TERRITORIAL,97.977528,438.595505,50879.537078,52168.751235,COMPRA E VENDA,2011
376963,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,6,TERRITORIAL,100,376.666666,57100.613333,57100.613333,COMPRA E VENDA,2012
376964,103,Portuguesa                ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,1100,1044225.96,1044225.96,COMPRA E VENDA,2012
376965,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,25,TERRITORIAL,98,213.04,169028.7724,169982.0432,COMPRA E VENDA,2012
376966,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,2,TERRITORIAL,100,723.5,42041.65,42041.65,COMPRA E VENDA,2012
376967,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,7,TERRITORIAL,97.478571,962.142857,176738.605714,180150.984285,COMPRA E VENDA,2012
376968,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,7,TERRITORIAL,98.367142,2677.857142,256215.835714,264516.401428,COMPRA E VENDA,2012
376969,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,10,TERRITORIAL,85,218.9,19598678,23710298,COMPRA E VENDA,2012
376970,135,Vila Militar              ,5,5.1,Bangu,33,REALENGO                ,3,TERRITORIAL,100,194.333333,23588.07,23588.07,COMPRA E VENDA,2012
376971,41,Ramos                     ,3,3.1,Ramos,10,RAMOS                   ,3,TERRITORIAL,100,363.333333,85233.986666,85233.986666,COMPRA E VENDA,2012
376972,90,Marechal Hermes           ,3,3.3,Madureira,15,MADUREIRA               ,7,TERRITORIAL,85.744285,558.857142,74580.197142,103274.234285,COMPRA E VENDA,2012
376973,55,Engenho da Rainha         ,3,3.4,Inhaúma,12,INHAUMA                 ,14,TERRITORIAL,100,1263.571428,66901.57,66901.57,COMPRA E VENDA,2012
376974,54,Inhaúma                   ,3,3.4,Inhaúma,12,INHAUMA                 ,4,TERRITORIAL,100,118,22125.9075,22125.9075,COMPRA E VENDA,2012
376975,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,4,TERRITORIAL,100,609,243067.2475,243067.2475,COMPRA E VENDA,2012
376976,138,Magalhães Bastos          ,5,5.1,Bangu,33,REALENGO                ,13,TERRITORIAL,67.307692,439.230769,16065.256923,33898.04923,COMPRA E VENDA,2012
376977,82,Cascadura                 ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,100,991.666666,190770.46,190770.46,COMPRA E VENDA,2012
376978,79,Quintino Bocaiúva         ,3,3.3,Madureira,15,MADUREIRA               ,8,TERRITORIAL,74305,219625,24688375,34007.03125,COMPRA E VENDA,2012
376979,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,50055,18261,74713.58,3470519535,COMPRA E VENDA,2012
376980,146,Inhoaíba                  ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,9,TERRITORIAL,88.888888,503.111111,36420.546666,41461.072222,COMPRA E VENDA,2012
376981,68,Encantado                 ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,727,235557.12,235557.12,COMPRA E VENDA,2012
376982,2,Gamboa                    ,1,1.1,Centro,1,PORTUARIA               ,1,TERRITORIAL,100,487,20809.24,20809.24,COMPRA E VENDA,2012
376983,61,Engenho Novo              ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,2763.5,138968555,138968555,COMPRA E VENDA,2012
376984,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,136,TERRITORIAL,65.228014,9143.970588,88724.238897,761846.178455,COMPRA E VENDA,2012
376985,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,52,TERRITORIAL,84.696153,768.75,339792.633076,396209.177115,COMPRA E VENDA,2012
376986,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,3,TERRITORIAL,100,1083.333333,67169.816666,67169.816666,COMPRA E VENDA,2010
376987,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,100,341.5,38778335,38778335,COMPRA E VENDA,2010
376988,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,260,12480.22,12480.22,COMPRA E VENDA,2010
376989,74,Vila da Penha             ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,100,277.5,32838.38,32838.38,COMPRA E VENDA,2010
376990,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,8,TERRITORIAL,93.75,284,38123.97875,40690.3175,COMPRA E VENDA,2010
376991,73,Vicente de Carvalho       ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,2021,165106.83,165106.83,COMPRA E VENDA,2010
376992,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,100,285,23091.6,23091.6,COMPRA E VENDA,2010
376993,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,2,TERRITORIAL,100,197,9303.82,9303.82,COMPRA E VENDA,2010
376994,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,7,TERRITORIAL,100,591.285714,136262.187142,136262.187142,COMPRA E VENDA,2010
376995,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,129,TERRITORIAL,1.325193,8195.782945,59822.706976,10930592.75,COMPRA E VENDA,2010
376996,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,133,5300.43,5300.43,COMPRA E VENDA,2010
376997,10,São Cristóvão             ,1,1.1,Centro,7,SAO CRISTOVAO           ,2,TERRITORIAL,100,2040,313980.44,313980.44,COMPRA E VENDA,2010
376998,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,55,TERRITORIAL,83.958181,6224.363636,75857.831818,405375.374181,COMPRA E VENDA,2010
376999,118,Cidade de Deus            ,4,4.1,Jacarepaguá,34,CIDADE DE DEUS          ,1,TERRITORIAL,100,253,9599.16,9599.16,COMPRA E VENDA,2010
377000,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,23,TERRITORIAL,70.20913,3785.608695,291320.04,3810859.793913,COMPRA E VENDA,2010
377001,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,7,TERRITORIAL,100,857.142857,28591.988571,28591.988571,COMPRA E VENDA,2010
377002,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,3,TERRITORIAL,83.333333,433.333333,48504.67,57415.14,COMPRA E VENDA,2011
377003,96,Cocotá                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,50,516,61247.27,122494.54,COMPRA E VENDA,2011
377004,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,23,TERRITORIAL,100,1920.173913,119373.026956,119373.026956,COMPRA E VENDA,2011
377005,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,28,TERRITORIAL,84.6,27798.821428,50563.646428,473212.311785,COMPRA E VENDA,2011
377006,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,9,TERRITORIAL,88.968888,1305.666666,123876.96,161800.387777,COMPRA E VENDA,2011
377007,113,Costa Barros              ,3,3.6,Pavuna,25,PAVUNA                  ,2,TERRITORIAL,100,479,13074.13,13074.13,COMPRA E VENDA,2011
377008,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,9,TERRITORIAL,75.142222,11576,314333.785555,320343.647777,COMPRA E VENDA,2011
377009,75,Vista Alegre              ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,240,28276.59,28276.59,COMPRA E VENDA,2011
377010,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,3,TERRITORIAL,100,276,64110.78,64110.78,COMPRA E VENDA,2011
377011,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,477,49984.6,49984.6,COMPRA E VENDA,2010
377012,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,500,40229.9,40229.9,COMPRA E VENDA,2010
377013,55,Engenho da Rainha         ,3,3.4,Inhaúma,12,INHAUMA                 ,2,TERRITORIAL,100,233,20131.13,20131.13,COMPRA E VENDA,2010
377014,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,5,TERRITORIAL,100,160.2,14493266,14493266,COMPRA E VENDA,2010
377015,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,811,126412.61,126412.61,COMPRA E VENDA,2010
377016,138,Magalhães Bastos          ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,225,19758.88,19758.88,COMPRA E VENDA,2010
377017,69,Piedade                   ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,242,20423.39,20423.39,COMPRA E VENDA,2010
377018,70,Abolição                  ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,102,9683.96,9683.96,COMPRA E VENDA,2010
377019,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,6,TERRITORIAL,100,540.5,185677.31,185677.31,COMPRA E VENDA,2010
377020,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,100,167,189003.52,189003.52,COMPRA E VENDA,2010
377021,33,Tijuca                    ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,370,127999.99,127999.99,COMPRA E VENDA,2010
377022,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,17,TERRITORIAL,71.357058,3744.764705,86321.551764,1082657.918823,COMPRA E VENDA,2010
377023,128,Barra da Tijuca           ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,28,TERRITORIAL,93.024285,867.75,1240510.297142,2117887.461071,COMPRA E VENDA,2010
377024,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,96,TERRITORIAL,96.354166,1467.010416,36977.520729,37607.730625,COMPRA E VENDA,2010
377025,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,10,TERRITORIAL,100,515.3,100607203,100607203,COMPRA E VENDA,2011
377026,101,Tauá                      ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,8,TERRITORIAL,89.90625,414125,73378.2425,79951.70625,COMPRA E VENDA,2011
377027,49,Jardim América            ,3,3.5,Penha,31,VIGARIO GERAL           ,7,TERRITORIAL,100,251.428571,32081.455714,32081.455714,COMPRA E VENDA,2011
377028,95,Praia da Bandeira         ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,447.5,59407465,59407465,COMPRA E VENDA,2011
377029,45,Brás de Pina              ,3,3.5,Penha,11,PENHA                   ,5,TERRITORIAL,100,317.8,38120752,38120752,COMPRA E VENDA,2011
377030,77,Colégio                   ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,50.06,2063.5,7195.71,47280885,COMPRA E VENDA,2011
377031,74,Vila da Penha             ,3,3.3,Madureira,14,IRAJA                   ,4,TERRITORIAL,100,362.5,52700.49,52700.49,COMPRA E VENDA,2011
377032,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,4,TERRITORIAL,100,178,34026.5125,34026.5125,COMPRA E VENDA,2011
377033,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,55,TERRITORIAL,100,1648.555555,19869.796545,19869.796545,COMPRA E VENDA,2011
377034,84,Vaz Lobo                  ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,100,2750.5,342622.406666,342622.406666,COMPRA E VENDA,2011
377035,85,Turiaçú                   ,3,3.3,Madureira,15,MADUREIRA               ,4,TERRITORIAL,100,344.5,18034165,18034165,COMPRA E VENDA,2011
377036,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,11,TERRITORIAL,95.454545,2921,841090.910909,895636.366363,COMPRA E VENDA,2012
377037,37,Andaraí                   ,2,2.2,Tijuca,9,VILA ISABEL             ,5,TERRITORIAL,80,975.6,1864600004,3464600006,COMPRA E VENDA,2012
377038,17,Laranjeiras               ,2,2.1,Zona Sul,4,BOTAFOGO                ,6,TERRITORIAL,91.666666,508.5,703480.001666,717960.001666,COMPRA E VENDA,2012
377039,34,Alto da Boa Vista         ,2,2.2,Tijuca,8,TIJUCA                  ,2,TERRITORIAL,100,2672.5,215917.99,215917.99,COMPRA E VENDA,2012
377040,116,Anil                      ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,13,TERRITORIAL,76.023846,2168.230769,243029.21923,384264.403076,COMPRA E VENDA,2012
377041,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,136,TERRITORIAL,34.253161,7528.816176,134422.763014,4162118.899926,COMPRA E VENDA,2012
377042,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,798,TERRITORIAL,97.69233,1482.758145,109561.600476,112335.557393,COMPRA E VENDA,2012
377043,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,6,TERRITORIAL,83.333333,569.333333,129219.828333,144929.94,COMPRA E VENDA,2013
377044,101,Tauá                      ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,50,371,85280.86,170561.72,COMPRA E VENDA,2013
377045,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,7,TERRITORIAL,83.67,391.857142,121886.817142,148856.982857,COMPRA E VENDA,2013
377046,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,9,TERRITORIAL,92.593333,472.111111,268801.693333,288474.617777,COMPRA E VENDA,2013
377047,93,Cacuia                    ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,437,103606.17,103606.17,COMPRA E VENDA,2013
377048,110,Coelho Neto               ,3,3.6,Pavuna,25,PAVUNA                  ,1,TERRITORIAL,100,225,22120.78,22120.78,COMPRA E VENDA,2013
377049,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,7,TERRITORIAL,100,511.428571,81835.22,81835.22,COMPRA E VENDA,2013
377050,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,3,TERRITORIAL,72.223333,191,46196.113333,87494.966666,COMPRA E VENDA,2013
377051,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,26,TERRITORIAL,100,1850.038461,21228.40423,21228.40423,COMPRA E VENDA,2013
377052,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,2,TERRITORIAL,100,909,188029985,188029985,COMPRA E VENDA,2013
377053,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,40,TERRITORIAL,98.75,1135.230769,100454.09175,100753.36225,COMPRA E VENDA,2013
